recent_activity,people_interacted_with,ongoing_task,past_searches,current_environment,potential_search
Talking about movies,Friend,Writing a blog post,"Cillian Murphy, 2023 movies",Coffee shop,Oppenheimer
Shopping for winter clothes,Partner,Packing for a vacation,"Best winter jackets, waterproof boots",Bedroom,Patagonia Jacket
Planning a trip to Japan,Family,Creating a travel itinerary,"Famous temples in Kyoto, sushi restaurants",Kitchen,Fushimi Inari Shrine
Discussing holiday plans,Co-worker,Organizing holiday party,"National holidays 2023, best gifts for coworkers",Office,Thanksgiving Date
Cooking a new dish,Roommate,Finding ingredients,"Spanish translation for cumin, best Mexican recipes",Grocery store,Comino (Cumin)
Browsing new books online,Friend,Ordering a new book,"Best sellers 2023, mystery novels",Library,The Silent Patient (Book)
Learning about houseplants,Neighbor,Watering my indoor plants,"Low-maintenance houseplants, snake plant care",Living room,Snake Plant Care Guide
Talking about weekend plans,Partner,Booking a weekend getaway,"Top weekend destinations near me, affordable hotels",Cafe,Weekend Getaways Near Me
Watching a cooking show,Sibling,Preparing a new recipe,"Best pasta recipes, Italian cooking tips",Kitchen,Pasta Carbonara Recipe
Looking for workout routines,Gym trainer,Trying out a new fitness regime,"Beginner workout plans, best fitness apps",Gym,Full Body Workout Routine
Reading about historical figures,Colleague,Writing a research paper,"Biography of Abraham Lincoln, influential figures in history",Office,Abraham Lincoln Biography
Planning a road trip,Best friend,Mapping out driving routes,"Scenic drives near me, road trip essentials",Car,Scenic Road Trip Routes
Discussing pet care,Pet owner,Looking for a pet sitter,"Healthy dog food, how to bathe a cat",Backyard,Best Dog Food Brands
Searching for new restaurants,Coworker,Making a reservation for dinner,"Top-rated restaurants near me, best brunch spots",Downtown,Best Brunch Spots Downtown
Talking about home renovations,Spouse,Choosing new paint colors,"Home renovation ideas, modern kitchen designs",Home office,Modern Kitchen Remodel Ideas
Watching a documentary on marine life,Sibling,Researching marine species,"Deep-sea creatures, coral reef facts",Living room,Great Barrier Reef Facts
Talking about space exploration,Colleague,Learning about the latest Mars mission,"SpaceX mission updates, Mars landing",Office,Mars Mission 2023
Reading about famous painters,Friend,Painting a landscape,"Famous Impressionist painters, Van Gogh",Art studio,Van Gogh Paintings
Looking for new hiking trails,Hiking group,Planning a weekend hike,"Best hiking trails near me, easy trails for beginners",Mountain lodge,Best Hiking Trails for Beginners
Learning to bake a cake,Baker friend,Decorating a birthday cake,"Easy cake decorating ideas, best cake recipes",Kitchen,Buttercream Frosting Recipe
Searching for concert tickets,Partner,Booking tickets to a live event,"Best concerts in 2023, live music events near me",Concert venue,Live Concert Tickets 2023
Looking for tech gadgets,Tech enthusiast,Comparing prices for smartwatches,"Top-rated smartwatches, best deals on tech gadgets",Electronics store,Best Smartwatches 2023
Researching nutrition tips,Dietitian,Creating a meal plan,"High-protein diets, best nutrition apps",Gym,High-Protein Meal Plans
Browsing baby names,Partner,Deciding on baby names,"Unique baby names, trending names 2024",Baby store,Unique Baby Names 2024
Talking about a new TV series,Roommate,Watching the latest episode,"New TV series 2023, best shows on Netflix",Couch,Best Shows on Netflix
Learning Spanish phrases,Language tutor,Practicing Spanish vocabulary,"Spanish translations, beginner Spanish phrases",Classroom,Basic Spanish Phrases
Listening to a podcast on productivity,Colleague,Taking notes from a productivity podcast,"How to boost productivity, best productivity tools",Work desk,Top Productivity Tools
Searching for winter holiday destinations,Travel agent,Planning a holiday trip,"Winter vacations 2023, best places to visit in December",Airport lounge,Winter Vacation Spots 2023
Reading about classic cars,Mechanic,Restoring a vintage car,"Classic car restoration tips, top vintage cars",Garage,Top Vintage Cars
Exploring DIY home decor ideas,Interior designer,Choosing DIY wall art,"DIY home decor ideas, affordable wall art",Home office,DIY Wall Art Ideas
Searching for dinner recipes,Friend,Preparing dinner,Quick and easy dinner recipes,Kitchen,Quick Dinner Ideas
Talking about vacation plans,Partner,Booking a flight,Best vacation destinations 2023,Living room,Best Vacation Spots 2023
Learning about cryptocurrency,Co-worker,Setting up a crypto wallet,"How to buy cryptocurrency, Bitcoin vs Ethereum",Home office,How to Set Up a Crypto Wallet
Reading news about climate change,Sibling,Drafting a report on climate impact,Latest climate change reports,Library,Climate Change Report 2023
Discussing personal finance tips,Financial advisor,Budgeting for next month,Best budgeting apps 2023,Cafe,Best Budgeting Apps
Looking for furniture ideas,Interior designer,Choosing new furniture,Affordable furniture for small spaces,Furniture store,Small Space Furniture Ideas
Learning about meditation techniques,Yoga instructor,Practicing mindfulness,"Best meditation apps, mindfulness tips",Yoga studio,Best Meditation Apps
Talking about skincare routines,Friend,Buying skincare products,Skincare routine for dry skin,Bathroom,Skincare for Dry Skin
Researching freelance opportunities,Freelancer,Setting up a freelancing profile,"Top freelancing platforms, best side jobs",Coworking space,Top Freelancing Platforms
Watching tech reviews,Tech reviewer,Comparing smartphones,"Best smartphones 2023, top tech reviews",Electronics store,Best Smartphones 2023
Searching for movie soundtracks,Sibling,Compiling a playlist,Best movie soundtracks of all time,Home theater,Best Movie Soundtracks
Learning about gardening,Neighbor,Planting vegetables,"How to start a garden, beginner gardening tips",Garden,Beginner Gardening Tips
Browsing healthy dessert recipes,Roommate,Making a healthy dessert,"Low-calorie desserts, healthy desserts",Bakery,Healthy Dessert Recipes
Reading reviews on electric vehicles,Colleague,Deciding on an electric car,"Top electric vehicles 2023, EV reviews",Car dealership,Top Electric Cars 2023
Talking about fitness goals,Gym buddy,Setting new fitness goals,Workout plans for beginners,Gym,Beginner Workout Plans
Looking for dog training tips,Dog trainer,Training my dog,"How to train a dog to sit, dog training tips",Dog park,How to Train a Dog to Sit
Researching university courses,Academic advisor,Enrolling in online courses,Best online courses for 2023,University,Best Online Courses 2023
Talking about home security,Home security specialist,Installing home security cameras,Best home security systems 2023,Living room,Best Home Security Systems
Searching for a good book to read,Book club,Browsing book recommendations,"Must-read books 2023, book recommendations",Bookstore,Must-Read Books 2023
Looking for coding tutorials,Coding mentor,Learning a new programming language,Best Python tutorials for beginners,Office,Python Programming Tutorials
Discussing parenting tips,Parent,Reading parenting blogs,"Tips for new parents, parenting advice",Playroom,Parenting Tips for New Parents
Watching historical documentaries,History professor,Researching historical events,"Famous historical figures, historical events",Classroom,Famous Historical Figures
Learning about smart home devices,Tech enthusiast,Setting up smart home devices,Best smart home devices 2023,Smart home showroom,Best Smart Home Devices
Talking about weekend activities,Friend,Planning a day out,Fun weekend activities near me,Downtown,Weekend Activities Near Me
Searching for gifts for kids,Sister,Shopping for toys,Best gifts for kids 2023,Toy store,Best Gifts for Kids
Discussing interior design trends,Interior decorator,Redecorating the living room,Modern interior design trends,Living room,Modern Interior Design
Researching local museums,Tour guide,Planning a museum visit,Best museums to visit near me,Museum,Best Local Museums
Reading about new fashion trends,Fashion stylist,Updating my wardrobe,Top fashion trends 2023,Clothing store,Fashion Trends 2023
Learning about renewable energy,Environmental activist,Studying renewable energy,How renewable energy works,Science lab,How Renewable Energy Works
Looking for hair care products,Hair stylist,Shopping for hair care products,Best hair products for curly hair,Salon,Best Hair Products for Curly Hair
